Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belarus,,,1.273,0.160,0.873,1.169,-0.220,0.474,0.680,1.840,2.036,1.239,1.773,0.784,0.973,1.072,1.053,2.055,2.250,1.331,1.188,1.672,0.939,1.667,1.945,2.570,1.908,1.774,2.103,2.982
Belgium,,,,,,,,,,,1.581,1.075,1.566,1.498,0.977,1.219,1.616,1.700,1.150,1.169,-0.074,1.855,1.034,0.541,2.342,1.740,1.469,1.750,2.310,2.071
Belgium-Luxembourg,1.328,0.252,1.101,0.483,1.633,1.108,-0.545,1.011,0.954,1.467,,,,,,,,,,,,,,,,,,,,
Belize,0.592,0.721,0.421,0.554,0.970,0.937,0.405,1.074,1.121,0.370,0.172,0.543,0.690,0.825,0.806,0.901,0.632,0.821,0.507,0.996,0.541,0.806,0.676,0.736,0.701,1.475,1.362,1.194,0.941,1.608
Benin,0.758,0.230,0.102,0.602,0.391,0.612,0.765,0.614,1.109,0.640,0.560,0.754,0.758,1.029,0.901,1.209,1.026,1.015,0.754,1.071,1.273,1.050,0.789,0.966,1.081,1.156,1.400,1.223,1.138,1.277
Bhutan,0.041,-0.041,-0.281,-0.158,0.164,0.489,0.123,-0.424,0.823,1.025,0.199,0.706,0.515,0.521,0.563,0.748,1.174,1.051,0.753,1.411,1.315,0.690,0.393,0.833,1.104,1.117,1.675,1.537,1.427,1.458
Bolivia (Plurinational State of),0.281,0.632,-0.018,0.425,0.831,0.623,0.246,0.976,0.779,0.288,0.305,0.601,0.933,0.641,0.829,0.742,0.905,0.450,0.445,0.745,0.754,1.100,0.880,0.641,1.008,1.627,0.711,0.991,0.562,1.014
Bosnia and Herzegovina,,,0.885,0.466,1.630,0.329,-0.166,0.306,0.716,0.918,1.722,1.005,1.524,1.110,0.686,0.020,0.781,1.670,1.636,1.427,0.866,1.335,1.607,1.519,1.914,1.841,1.557,1.542,2.256,2.224
Botswana,0.804,0.058,1.124,0.653,0.133,1.096,-0.028,0.225,0.908,0.765,-0.398,0.018,0.630,1.041,0.091,1.204,-0.083,0.340,0.732,0.125,1.152,0.316,0.832,0.990,0.257,2.030,1.413,0.203,0.824,1.748
Brazil,0.511,0.487,0.376,0.558,0.655,0.794,0.550,0.776,1.257,0.557,0.557,0.787,1.150,1.013,0.836,1.155,0.936,1.041,0.777,1.050,1.181,0.833,1.182,1.026,1.291,1.775,1.545,1.489,1.267,1.717
British Virgin Islands,0.258,0.204,0.087,0.273,0.411,0.446,0.084,0.481,0.888,0.279,0.079,0.445,0.666,0.613,0.310,0.547,0.597,0.697,0.175,0.578,0.738,0.304,0.523,0.601,0.673,0.962,0.933,0.765,0.577,0.919
Brunei Darussalam,0.544,0.376,0.307,0.207,0.400,0.365,0.292,0.730,1.256,0.514,0.464,0.517,0.786,0.699,0.595,0.848,0.600,0.500,0.436,0.813,0.817,0.539,0.736,0.833,0.753,1.071,1.460,1.024,0.998,1.243
Bulgaria,0.868,-0.511,0.296,-0.010,1.439,0.218,-0.290,-0.373,0.463,1.146,1.200,1.049,1.069,0.316,0.634,0.124,0.519,1.649,1.378,1.253,1.215,0.431,1.426,1.489,1.341,1.497,1.538,1.317,1.921,2.360
Burkina Faso,0.710,0.359,0.040,0.709,0.177,0.567,0.839,0.572,1.004,0.443,0.546,0.646,0.932,0.906,1.028,1.349,0.969,0.901,0.330,0.970,1.157,0.899,0.569,0.779,0.904,0.991,1.327,1.125,1.111,1.128
Burundi,0.362,-0.133,-0.058,0.582,0.274,0.561,0.616,1.031,0.524,-0.480,0.823,-0.094,0.515,0.467,0.648,2.050,1.240,0.627,0.464,0.418,1.157,0.742,0.719,0.803,,,,,,
Cabo Verde,1.294,0.399,0.577,0.310,0.351,1.314,1.359,1.429,1.604,0.590,0.799,1.239,1.291,1.410,1.369,1.073,1.139,0.587,1.106,1.173,2.435,1.289,0.681,1.219,0.901,0.977,1.542,1.837,0.740,1.319
Cambodia,0.641,0.527,0.421,0.228,0.443,0.456,0.220,0.526,1.156,0.227,0.374,0.519,0.763,0.491,0.511,0.653,0.711,0.543,0.269,0.435,1.081,0.288,0.919,0.706,0.682,1.164,1.320,0.983,0.837,1.364
Cameroon,0.868,0.288,-0.160,0.381,0.278,0.461,0.433,0.606,1.227,0.685,0.464,0.379,0.754,0.930,0.901,1.098,0.982,0.846,0.720,1.166,1.208,0.626,0.585,0.857,0.887,1.109,1.342,1.205,1.075,1.602
Canada,-0.004,0.561,0.040,0.526,0.541,0.672,0.029,0.699,2.343,1.782,0.938,1.844,0.615,1.154,0.122,1.685,2.468,0.916,0.685,0.871,3.082,1.445,1.909,0.855,0.714,1.263,2.103,1.566,0.635,1.228
Caribbean,0.707,0.645,0.487,0.505,0.904,0.898,0.417,1.083,1.210,0.684,0.578,0.659,0.904,1.051,0.785,0.711,0.945,0.872,0.504,0.759,0.633,0.720,0.668,0.932,0.909,1.370,1.202,1.154,1.154,1.508
Cayman Islands,1.012,0.948,0.635,0.919,1.264,1.124,0.471,1.132,1.002,0.443,,,,,,0.815,0.716,0.756,0.618,0.693,0.484,0.603,0.545,0.693,0.818,1.185,1.054,0.963,0.722,0.921
Central African Republic,0.704,0.087,-0.370,0.438,0.435,0.232,0.144,0.269,1.113,0.465,0.683,0.494,0.667,0.961,0.989,1.144,0.875,0.738,0.766,1.195,1.252,0.623,0.754,0.818,0.681,0.907,1.403,1.244,1.122,1.439
Central America,0.378,0.313,0.183,0.335,0.724,0.729,0.452,0.464,0.851,0.488,0.543,0.542,0.685,0.780,0.389,0.807,0.765,0.594,0.513,0.981,0.373,0.923,0.952,0.715,0.848,1.163,1.290,1.339,1.100,1.356
Central Asia,,,0.297,-0.607,0.206,1.686,-0.128,1.486,0.880,1.434,1.352,1.405,1.681,0.704,1.928,1.569,1.475,1.735,1.463,1.131,1.552,0.541,0.805,2.137,0.502,1.859,1.950,1.664,0.816,1.883
Chad,0.624,0.305,-0.277,0.374,0.194,0.323,0.568,0.279,0.944,0.430,0.237,0.402,0.683,0.861,0.863,1.229,1.094,0.760,0.581,1.254,1.290,0.980,0.704,1.149,1.008,1.160,1.399,1.238,1.397,1.483
Channel Islands,1.376,0.056,0.505,0.218,1.150,1.226,0.036,1.154,0.785,1.329,0.945,0.850,1.298,1.306,1.002,1.141,1.305,1.214,0.751,0.773,-0.050,1.589,0.757,0.593,1.787,1.466,1.204,1.546,1.602,1.545
