Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ghana,0.579,0.357,0.182,0.500,0.481,0.768,0.661,0.494,1.171,0.527,0.454,0.639,0.772,0.983,0.808,0.943,0.927,0.958,0.720,0.852,1.212,0.819,0.596,0.819,0.907,1.097,1.385,1.285,1.111,1.278
Gibraltar,0.990,0.296,0.259,-0.092,0.899,1.548,0.745,1.513,1.040,0.888,0.956,1.281,1.059,1.341,1.041,0.943,1.434,0.954,0.929,1.501,1.374,1.573,1.040,0.948,1.469,1.745,1.714,1.962,0.835,1.444
Greece,0.471,-0.490,-0.331,-0.012,0.945,0.166,-0.072,-0.214,0.566,1.121,0.684,1.053,0.749,0.498,0.503,0.279,0.273,1.067,1.105,0.939,1.578,0.331,1.259,1.347,1.292,0.866,1.450,1.034,1.857,1.652
Greenland,-0.443,-0.226,-1.386,-1.419,-0.480,-0.093,0.825,0.487,1.228,0.318,0.955,1.009,1.372,1.963,1.332,2.211,1.485,1.361,1.023,1.098,3.126,1.198,1.824,1.274,1.321,0.138,2.515,1.497,0.802,1.909
Grenada,0.227,0.270,0.278,0.363,0.349,0.631,0.295,0.497,1.049,0.393,0.293,0.644,0.609,0.958,0.544,1.120,0.946,0.785,0.697,0.734,1.428,0.950,0.919,0.996,0.959,1.118,1.105,1.063,0.708,1.048
Guadeloupe,0.215,0.197,0.077,0.296,0.334,0.520,0.158,0.541,0.907,0.324,0.128,0.454,0.548,0.483,0.352,0.681,0.575,0.667,0.182,0.517,0.962,0.461,0.623,0.680,0.653,0.984,0.988,0.810,0.559,0.876
Guatemala,0.459,0.718,0.549,0.418,0.805,0.758,0.239,0.872,1.078,0.715,0.494,0.571,0.790,0.850,0.748,0.866,0.605,0.689,0.450,1.081,0.544,0.820,0.561,0.655,0.597,1.326,1.301,0.924,0.944,1.563
Guinea,0.705,0.662,0.387,0.641,0.416,0.538,0.805,0.696,1.083,0.546,0.606,0.865,1.144,1.039,1.165,1.287,1.075,1.079,1.235,1.072,1.448,1.035,0.744,1.138,1.102,1.191,1.503,1.635,1.309,1.564
Guinea-Bissau,1.091,0.878,0.736,0.949,0.645,1.024,1.120,1.098,1.502,0.809,0.942,1.377,1.384,1.022,1.337,1.595,1.184,1.333,1.643,1.150,1.746,1.290,1.361,1.511,1.747,1.648,2.094,2.047,1.623,1.880
Guyana,0.702,0.051,0.076,0.448,0.421,0.969,0.553,0.885,1.328,0.469,0.498,0.905,0.592,1.365,1.087,1.038,1.065,0.932,0.880,1.292,1.281,0.868,0.947,1.008,1.397,1.624,1.739,0.997,0.802,0.982
Haiti,0.692,0.603,0.541,0.347,1.043,1.042,0.630,1.279,1.275,1.041,0.927,0.785,0.970,1.151,0.886,0.998,1.045,1.028,0.712,0.866,0.997,0.725,0.864,1.147,1.132,1.424,1.267,1.090,1.283,1.563
Holy See,0.857,-0.176,0.675,0.468,1.344,0.165,0.145,0.787,0.674,0.828,1.247,1.125,1.089,1.429,0.685,0.221,0.907,1.124,1.093,1.124,0.716,1.217,1.419,1.016,1.535,1.715,1.580,1.388,1.996,1.666
Honduras,0.408,0.584,0.571,0.263,0.913,0.998,0.150,1.027,1.186,0.500,0.273,0.612,0.926,0.663,0.712,1.100,0.699,0.795,0.533,0.837,0.529,0.740,0.639,0.880,0.626,1.274,1.283,0.977,0.924,1.442
Hungary,0.985,-0.222,1.083,0.300,1.687,0.512,-0.441,0.191,0.665,0.916,1.955,0.855,1.720,0.873,0.594,0.186,0.910,1.910,1.755,1.542,0.611,1.231,1.497,1.373,2.310,2.118,1.632,1.572,2.474,2.591
Iceland,0.039,0.754,0.003,0.007,-0.135,-0.448,0.493,0.517,0.044,0.216,0.291,0.678,0.903,1.525,1.209,0.635,1.091,1.006,0.692,0.925,1.132,0.794,0.935,0.593,1.636,0.394,1.651,1.347,1.000,1.133
India,-0.098,0.067,-0.024,0.136,-0.004,0.193,0.172,-0.163,0.523,0.380,0.296,0.425,0.776,0.510,0.514,0.409,0.655,0.476,0.261,0.977,0.929,0.296,0.372,0.269,0.391,0.675,0.986,0.837,0.712,0.675
Indonesia,0.130,0.214,0.312,0.226,0.273,0.278,0.353,0.478,0.930,0.225,0.281,0.466,0.621,0.511,0.543,0.644,0.449,0.398,0.245,0.618,0.699,0.337,0.459,0.790,0.734,0.807,1.331,0.861,0.854,0.925
Iran (Islamic Republic of),0.681,0.335,-0.792,-0.027,0.622,0.697,0.428,0.529,1.405,1.410,1.143,1.640,1.329,1.008,1.351,1.043,1.402,0.967,1.040,1.221,2.176,1.112,1.161,1.477,1.161,1.720,1.782,1.695,2.154,1.584
Iraq,0.490,0.306,-1.292,-0.285,0.588,0.421,1.023,0.030,1.439,1.593,0.822,1.303,0.827,0.952,0.776,0.854,1.085,1.060,1.059,0.980,2.581,0.562,1.351,0.954,1.407,1.594,1.635,1.862,2.454,1.733
Ireland,0.803,0.314,0.288,0.117,0.365,0.955,0.009,1.144,0.918,0.952,0.591,0.492,0.915,1.008,0.959,1.107,1.201,1.345,0.676,0.675,-0.312,0.982,0.671,0.719,1.277,0.625,0.921,1.173,0.934,1.068
Isle of Man,0.904,0.263,0.309,0.018,0.367,0.897,-0.053,1.124,0.894,0.993,0.671,0.426,1.001,1.010,1.015,1.105,1.290,1.273,0.690,0.763,-0.359,1.138,0.559,0.594,1.402,0.670,0.994,1.260,1.049,1.096
Israel,0.085,0.047,-1.027,-0.018,0.503,-0.018,0.485,-0.232,0.915,0.819,0.121,0.797,0.670,0.472,0.403,0.381,0.294,0.570,0.773,0.818,2.285,0.372,1.047,0.901,0.978,1.060,1.493,0.906,1.806,1.044
Italy,0.901,-0.022,0.721,0.567,1.485,0.394,0.161,0.957,0.775,1.000,1.373,1.180,1.188,1.455,0.827,0.366,1.090,1.374,1.193,1.282,0.681,1.408,1.426,1.122,1.697,1.795,1.641,1.519,1.954,1.791
Jamaica,0.633,0.689,0.869,0.448,0.979,0.988,0.372,1.087,1.355,0.681,0.591,0.885,0.967,1.079,0.966,1.033,1.161,0.837,0.578,0.902,1.173,0.737,0.766,1.023,1.231,1.409,1.461,1.097,1.315,1.324
Japan,1.213,0.678,0.318,-0.034,0.995,0.219,-0.052,0.514,1.188,0.860,0.638,0.331,0.645,0.408,1.165,0.417,0.639,0.989,0.672,0.726,0.961,0.461,0.322,0.696,0.440,1.057,1.250,0.586,1.058,1.256
Jordan,0.148,0.107,-1.206,-0.143,0.494,0.103,0.705,-0.286,1.101,0.901,0.234,0.905,0.516,0.385,0.412,0.329,0.300,0.642,0.701,0.628,2.520,0.299,1.181,0.859,1.057,1.216,1.654,1.299,1.897,1.266
Kazakhstan,,,0.387,-0.694,0.177,1.963,-0.184,1.591,0.831,1.522,1.395,1.389,1.880,0.755,2.048,1.670,1.544,1.918,1.742,1.133,1.466,0.436,0.903,2.328,0.508,1.979,1.908,1.730,0.499,1.865
Kenya,0.032,0.384,0.463,0.204,0.496,0.504,0.517,0.508,0.365,0.291,0.737,0.649,0.813,0.951,0.779,0.897,0.754,0.610,0.851,1.380,1.134,1.099,1.083,0.903,1.054,1.275,1.312,1.599,0.787,1.697
Kiribati,0.295,0.298,0.192,-0.082,0.241,0.643,0.397,0.207,0.553,0.083,0.340,0.694,0.646,0.880,1.083,0.968,0.776,0.874,0.569,0.958,0.701,0.799,0.891,1.053,1.144,1.327,1.616,1.398,1.356,1.346
Kuwait,0.691,0.425,-0.660,0.106,0.644,0.335,1.280,0.324,1.665,1.866,1.203,1.587,1.468,1.679,1.319,1.145,1.498,1.437,1.386,1.595,2.647,1.109,1.807,1.325,1.683,1.932,1.859,2.249,2.589,2.022
Kyrgyzstan,,,0.166,-0.294,0.306,0.400,-0.220,1.315,1.041,1.007,1.073,1.249,1.281,0.600,1.607,1.089,1.516,1.677,1.180,0.933,1.341,0.936,0.306,1.556,0.431,1.696,2.006,1.391,1.301,1.782
Land Locked Developing Countries,0.727,0.434,0.233,0.149,0.417,0.975,0.376,0.927,1.017,0.839,0.694,0.879,1.158,0.814,1.197,1.173,1.111,1.195,0.926,1.057,1.281,0.802,0.746,1.299,0.898,1.530,1.492,1.368,1.089,1.537
Lao People's Democratic Republic,0.515,0.698,0.187,0.253,0.561,0.458,0.186,0.519,1.336,0.370,0.326,0.660,0.714,0.817,0.419,0.924,0.894,0.682,0.033,0.749,1.327,-0.058,1.148,0.725,0.843,1.488,1.343,1.030,1.013,1.989
Latvia,,,1.596,0.337,0.651,1.208,-0.337,0.919,0.683,1.758,2.149,1.202,1.612,0.948,1.044,1.095,1.596,1.954,2.319,1.232,0.379,1.878,0.820,1.633,2.082,2.476,1.745,1.572,2.170,2.755
Least Developed Countries,0.564,0.312,0.150,0.374,0.284,0.588,0.552,0.565,0.950,0.437,0.514,0.614,0.842,0.881,0.835,1.140,0.874,0.785,0.677,1.056,1.357,0.901,0.769,0.964,0.944,1.176,1.428,1.232,1.166,1.414
Lebanon,0.249,0.197,-1.014,-0.042,0.811,0.226,0.682,-0.146,1.092,1.069,0.470,1.116,0.723,0.679,0.527,0.546,0.467,0.873,1.012,1.022,2.380,0.483,1.200,1.096,1.359,1.237,1.611,1.349,2.084,1.314
Lesotho,0.320,0.536,1.098,0.874,0.200,0.516,0.027,0.229,0.860,1.359,0.288,0.578,0.625,0.799,0.662,0.623,0.029,0.530,0.529,0.366,1.046,0.498,0.626,0.522,0.704,1.449,1.720,0.669,0.922,1.488
Liberia,0.498,0.424,0.271,0.385,0.378,0.652,0.566,0.919,1.292,0.673,0.432,0.626,0.869,0.904,0.897,0.999,0.991,0.912,1.132,1.337,1.259,0.958,0.742,0.835,0.861,1.249,1.526,1.439,1.172,1.379
Libya,0.520,0.094,-0.138,0.440,0.465,0.542,0.543,0.451,0.712,1.373,0.530,1.274,0.979,0.959,0.832,0.771,0.761,0.893,1.059,0.968,2.128,0.738,0.869,1.187,1.290,0.725,1.718,0.497,1.826,1.086
Liechtenstein,1.076,0.235,1.248,0.750,1.975,0.707,-0.071,1.182,1.071,0.985,1.701,1.054,1.742,1.586,0.860,0.505,1.324,1.751,1.436,1.366,0.360,2.007,1.466,1.090,2.222,2.229,1.798,1.582,2.391,2.152
Lithuania,,,1.512,0.312,0.850,1.077,-0.492,0.759,0.718,1.726,2.147,1.197,1.752,0.889,0.906,0.956,1.407,1.914,2.181,1.132,0.403,1.671,0.816,1.480,1.988,2.396,1.762,1.630,2.262,2.913
Low Income Food Deficit Countries,0.468,0.266,0.098,0.339,0.247,0.523,0.462,0.472,0.876,0.474,0.540,0.623,0.847,0.814,0.856,1.011,0.882,0.776,0.661,1.078,1.301,0.817,0.668,0.871,0.823,1.055,1.384,1.220,1.088,1.256
Luxembourg,,,,,,,,,,,1.777,1.126,1.592,1.644,0.873,1.160,1.608,1.731,1.196,1.207,0.004,1.907,1.141,0.643,2.400,1.900,1.474,1.731,2.591,2.191
Madagascar,0.082,0.328,0.380,0.271,0.228,0.320,0.225,0.604,0.711,0.445,0.433,0.646,0.519,0.691,0.388,0.636,0.833,0.686,0.572,0.843,1.126,1.012,0.717,0.636,0.819,1.134,0.957,1.300,0.979,1.550
Malawi,0.580,0.024,0.506,0.006,0.058,0.764,0.576,0.583,0.985,0.231,0.504,0.640,0.654,0.908,0.653,1.347,0.906,1.000,0.702,1.001,1.248,1.034,1.048,0.935,1.118,1.155,1.507,1.336,1.442,1.693
Malaysia,0.545,0.420,0.410,0.285,0.389,0.449,0.397,0.728,1.169,0.455,0.460,0.574,0.805,0.675,0.653,0.860,0.618,0.550,0.508,0.761,0.931,0.623,0.785,0.959,0.949,1.190,1.536,1.086,1.113,1.321
Maldives,0.645,0.682,0.297,0.332,0.589,0.772,0.454,0.775,0.910,0.397,0.378,0.534,0.696,0.663,0.467,0.911,0.409,0.527,0.310,0.660,0.676,0.699,0.590,0.670,0.716,0.919,0.822,0.799,0.745,0.908
Mali,0.844,0.631,0.283,0.934,0.169,0.703,1.176,0.779,1.211,0.318,0.731,0.783,1.194,1.139,1.374,1.335,0.931,0.996,0.585,1.101,1.614,1.053,0.519,0.973,0.880,0.992,1.385,1.307,1.121,1.189
Malta,0.949,0.000,0.474,0.565,1.403,0.498,0.549,0.963,0.710,1.384,1.131,1.415,1.081,1.338,0.794,0.521,1.179,1.215,1.338,1.212,1.253,1.028,1.445,1.366,1.638,1.544,1.787,1.184,1.645,1.178
Marshall Islands,,-0.030,0.065,-0.132,0.157,-0.035,0.018,-0.115,-0.113,-0.399,-0.264,-0.012,0.088,0.094,0.205,0.124,0.077,0.065,-0.250,0.092,0.175,0.011,0.359,0.371,0.429,0.309,0.562,0.422,0.230,0.419
Martinique,0.254,0.168,0.085,0.259,0.316,0.508,0.174,0.531,0.881,0.236,0.091,0.461,0.507,0.494,0.408,0.783,0.664,0.649,0.272,0.583,1.139,0.598,0.746,0.744,0.687,0.995,1.084,0.838,0.571,0.844
Mauritania,1.153,0.916,0.791,0.814,0.721,1.113,1.528,1.155,1.654,0.510,1.198,1.485,1.194,1.081,1.271,1.401,1.131,0.989,1.207,1.047,1.887,1.357,0.777,1.454,1.208,1.352,1.664,1.774,1.133,1.436
Mauritius,0.130,0.360,-0.005,0.077,0.446,0.418,0.115,0.703,0.783,0.307,0.211,0.550,0.503,0.688,0.328,0.390,0.357,0.490,0.315,0.889,1.020,0.890,0.716,0.963,1.152,1.307,1.036,1.319,0.978,1.463
Mayotte,0.292,0.330,0.297,0.428,0.657,0.533,0.140,0.574,0.901,0.267,0.513,0.614,0.983,0.658,0.478,0.647,0.481,0.855,0.623,0.953,1.077,0.932,0.789,0.908,1.145,1.383,1.213,1.439,1.291,1.801
Melanesia,0.357,0.176,0.470,0.251,0.229,0.758,0.560,0.163,1.214,0.371,0.405,0.537,0.816,0.730,0.319,0.657,0.343,0.493,0.365,0.345,1.018,0.477,0.429,0.804,0.590,0.420,1.451,1.273,0.832,0.734
Mexico,0.362,0.240,0.106,0.319,0.728,0.742,0.545,0.360,0.801,0.545,0.616,0.522,0.650,0.781,0.295,0.789,0.790,0.556,0.527,0.994,0.304,0.980,1.041,0.682,0.890,1.144,1.314,1.445,1.136,1.336
Micronesia,0.366,0.111,0.137,-0.059,0.210,0.393,0.335,0.161,0.467,0.067,0.169,0.353,0.233,0.404,0.525,0.408,0.472,0.505,0.186,0.556,0.504,0.445,0.628,0.746,0.721,0.849,1.114,1.000,0.900,0.842
Micronesia (Federated States of),,-0.069,0.079,-0.216,0.099,0.204,0.276,-0.030,0.357,-0.078,-0.033,0.163,0.041,-0.015,0.233,0.185,0.208,0.069,-0.125,0.212,0.323,0.118,0.492,0.568,0.340,0.387,0.758,0.799,0.571,0.527
Middle Africa,0.451,0.178,-0.184,0.272,0.257,0.442,0.236,0.516,1.000,0.421,0.364,0.350,0.683,0.836,0.718,1.025,0.772,0.711,0.597,0.855,1.165,0.700,0.586,0.864,0.819,1.037,1.418,1.101,1.251,1.497
Midway Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,1.001,0.211,0.735,0.493,1.344,0.595,0.242,1.311,0.840,0.967,1.325,1.134,1.176,1.670,0.931,0.592,1.490,1.515,1.020,1.458,0.344,1.638,1.250,0.834,1.805,1.958,1.685,1.693,2.146,2.046
Mongolia,1.461,0.894,0.896,0.400,1.377,1.423,0.520,1.883,2.208,1.752,0.847,1.411,1.797,0.731,1.846,0.688,1.612,2.736,1.781,1.188,0.505,0.661,0.115,1.530,1.752,2.318,1.515,2.559,1.949,2.156
Montenegro,,,,,,,,,,,,,,,,,0.569,1.558,1.551,1.302,1.124,1.099,1.502,1.615,1.675,1.696,1.449,1.453,2.222,2.086
Montserrat,0.177,0.236,0.255,0.338,0.297,0.573,0.193,0.557,0.929,0.426,0.181,,0.501,0.471,0.354,0.691,0.520,0.672,0.129,0.439,0.954,0.458,0.589,0.693,0.611,0.989,0.961,0.824,0.561,0.912
Morocco,1.141,0.181,0.215,0.218,1.167,1.397,0.976,1.378,1.463,1.226,1.222,1.983,1.402,1.724,1.154,1.499,1.621,1.250,1.226,1.737,2.284,1.747,1.579,1.498,1.840,1.557,1.963,2.300,0.944,1.733
Mozambique,0.332,0.209,0.848,0.277,0.024,0.575,0.161,0.240,0.861,0.343,0.213,0.484,0.514,0.590,0.245,1.030,0.575,0.597,0.387,0.620,0.969,0.733,0.714,0.468,0.695,1.115,1.187,0.702,0.820,1.171
Myanmar,0.259,0.488,-0.024,0.179,0.396,0.532,0.385,0.243,1.153,0.640,0.288,0.628,0.646,0.599,0.526,0.946,0.715,0.463,0.384,0.860,1.191,0.474,0.886,0.822,0.989,1.188,1.357,1.220,0.961,1.478
Namibia,0.525,0.012,0.801,0.694,0.284,0.804,0.179,0.139,1.256,0.794,0.148,0.422,0.867,1.301,1.037,1.022,-0.222,1.091,0.711,0.840,1.360,-0.257,0.110,1.074,0.608,1.513,1.663,0.885,1.692,2.114
Nauru,-0.287,-0.107,-0.569,-0.032,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.003,-0.096,-0.154,-0.221,0.024,0.239,0.066,-0.488,0.385,0.746,0.153,0.464,0.623,0.299,0.523,0.714,0.974,0.509,0.468,1.114,1.218,0.322,0.458,0.296,0.281,0.717,1.184,1.142,0.524,0.523
Net Food Importing Developing Countries,0.566,0.312,0.234,0.392,0.372,0.639,0.481,0.604,1.024,0.559,0.492,0.672,0.890,0.890,0.874,1.031,0.857,0.876,0.757,1.034,1.322,0.821,0.730,0.989,0.985,1.271,1.433,1.255,1.209,1.431
Netherlands,1.458,0.258,1.214,0.345,1.414,1.072,-0.726,0.958,1.016,1.617,1.658,1.053,1.552,1.307,1.079,1.280,1.742,1.845,1.308,1.190,-0.241,1.699,1.009,0.545,2.456,1.668,1.563,1.710,2.237,2.134
Netherlands Antilles (former),0.280,0.288,0.349,0.319,0.385,0.605,0.583,0.651,1.040,0.284,0.184,0.692,0.743,0.868,0.462,0.651,0.611,0.785,0.284,0.875,1.060,0.399,0.525,0.921,0.901,1.227,1.100,1.091,0.708,1.053
New Caledonia,0.507,0.050,0.157,-0.051,-0.259,0.483,0.612,0.199,1.480,0.671,0.400,0.630,0.495,0.370,0.412,0.381,0.135,0.687,0.549,0.303,0.860,0.549,0.425,0.488,0.672,0.738,1.453,1.339,0.909,0.847
New Zealand,0.655,-0.087,-0.696,-0.383,-0.011,0.228,0.131,-0.074,1.079,0.930,0.432,0.600,0.346,0.300,-0.151,0.767,0.080,0.476,0.545,0.011,0.748,0.561,0.185,0.984,0.486,0.548,1.208,0.819,1.054,1.074
Nicaragua,0.436,0.559,0.511,0.405,0.785,0.775,0.012,0.849,1.089,0.131,0.291,0.707,0.862,0.734,0.770,0.933,0.716,0.863,0.543,0.846,0.660,0.709,0.668,1.056,0.741,1.213,1.237,1.008,0.946,1.303
Niger,0.784,0.611,-0.216,0.541,0.117,0.934,1.061,0.762,0.940,0.798,0.678,0.560,0.689,0.930,0.954,1.393,1.126,1.266,0.560,1.508,1.672,1.119,0.938,1.047,1.199,0.828,1.539,0.932,1.114,1.226
Nigeria,0.868,0.381,-0.029,0.634,0.330,0.639,0.765,0.713,1.123,0.732,0.566,0.452,0.757,0.856,0.872,1.290,1.151,1.087,0.766,1.398,1.462,0.896,0.742,1.107,1.128,1.159,1.508,1.309,1.122,1.394
Niue,0.589,0.661,0.339,0.710,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex I countries,0.530,0.312,0.122,0.324,0.483,0.583,0.418,0.588,1.040,0.697,0.499,0.771,0.919,0.863,0.856,0.920,0.919,0.898,0.760,1.021,1.223,0.752,0.798,0.966,1.003,1.314,1.404,1.271,1.219,1.388
Norfolk Island,0.600,-0.012,-0.155,-0.155,-0.123,0.515,0.761,-0.052,1.312,,-0.046,0.298,0.085,0.088,0.233,0.374,-0.004,0.405,0.118,-0.205,0.940,0.627,0.226,0.230,0.233,0.601,1.152,0.915,0.806,0.806
North Macedonia,,,0.240,0.300,1.376,0.111,-0.138,-0.112,0.550,1.002,1.174,1.059,0.879,0.680,0.546,0.146,0.412,1.436,1.406,1.103,1.250,0.718,1.356,1.535,1.485,1.496,1.526,1.364,1.983,2.109
Northern Africa,0.749,0.087,-0.074,0.470,0.490,0.678,0.655,0.644,0.868,1.088,0.650,1.185,1.152,1.133,0.986,1.134,1.023,0.904,1.076,1.266,2.048,1.020,1.136,1.196,1.538,1.118,1.739,1.155,1.567,1.247
Northern America,0.345,0.616,0.120,0.311,0.487,0.598,0.018,0.551,1.828,1.234,0.893,1.395,0.821,1.059,0.512,1.411,1.797,0.969,0.426,0.617,1.909,1.092,1.648,0.680,0.732,1.374,2.048,1.555,0.920,1.145
Northern Europe,1.568,0.853,1.094,0.348,0.473,0.729,0.036,1.033,0.459,1.119,1.698,0.722,1.242,1.262,1.252,1.480,1.689,1.624,1.590,1.097,-0.278,1.856,0.678,1.349,2.189,1.974,1.677,1.393,1.678,1.577
Norway,1.835,0.963,1.134,0.349,0.427,0.483,0.026,1.012,0.378,1.052,1.672,0.475,1.251,1.421,1.437,1.614,1.893,1.529,1.523,1.145,-0.587,2.047,0.554,1.334,2.246,1.988,1.747,1.290,1.570,1.287
Oceania,0.561,0.613,0.174,0.375,0.274,0.271,0.548,0.362,0.979,0.465,0.212,0.302,0.818,0.773,0.588,1.134,0.556,0.819,0.538,0.962,0.564,0.216,0.399,1.362,1.094,1.007,1.144,1.142,1.148,1.448
OECD,0.524,0.563,0.203,0.319,0.542,0.537,0.164,0.545,1.399,0.997,0.763,1.004,0.839,0.963,0.583,1.209,1.365,0.952,0.581,0.792,1.241,0.912,1.196,0.888,1.004,1.336,1.697,1.418,1.134,1.318
Oman,0.123,-0.349,-0.619,0.179,0.131,-0.065,-0.177,-0.178,0.922,0.476,0.557,0.725,0.675,0.652,0.714,0.758,0.627,0.686,0.349,0.815,1.021,0.844,0.873,0.394,0.512,1.203,0.986,1.253,1.195,0.798
Pacific Islands Trust Territory,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,0.277,-0.255,-0.414,0.307,-0.015,-0.187,-0.232,-0.478,0.535,0.684,0.620,0.792,0.797,0.373,0.961,0.008,0.862,0.569,0.372,0.918,1.061,0.772,0.162,0.679,0.296,0.512,1.358,0.924,1.297,0.405
Palau,,0.008,0.187,0.230,0.347,0.406,0.438,0.457,0.705,0.442,0.416,,,0.456,0.783,0.484,0.611,0.690,0.483,0.553,0.620,0.532,0.758,0.642,0.671,0.921,0.987,0.830,0.999,-0.122
Palestine,0.090,0.053,-1.031,-0.010,0.511,-0.025,0.487,-0.229,0.924,0.828,0.122,0.800,0.674,0.473,0.402,0.384,0.291,0.571,0.775,0.827,2.294,0.380,1.059,0.909,0.970,1.059,1.503,0.907,1.806,1.031
Panama,0.365,0.457,0.303,0.480,0.266,0.264,0.052,0.596,0.786,-0.090,0.109,0.541,0.742,0.849,0.669,0.688,0.690,0.574,0.353,0.937,0.830,0.582,0.660,0.827,0.845,1.179,0.978,0.876,1.196,1.476
Papua New Guinea,0.338,0.173,0.516,0.295,0.263,0.787,0.565,0.133,1.242,0.338,0.369,0.510,0.840,0.750,0.270,0.655,0.320,0.412,0.334,0.326,1.002,0.407,0.364,0.763,0.521,0.329,1.435,1.252,0.787,0.667
Paraguay,0.075,0.744,-0.375,0.299,0.993,0.462,0.120,0.988,0.088,0.161,0.073,0.642,1.224,0.636,0.437,0.653,1.068,0.262,0.417,0.968,0.447,0.625,1.076,0.482,1.204,1.689,0.322,1.371,0.642,1.456
Peru,0.275,0.544,0.858,0.546,0.544,0.718,0.099,1.004,1.242,0.376,0.437,0.557,0.852,0.819,0.802,0.851,0.897,0.572,0.743,1.022,1.169,0.920,1.007,0.809,0.989,1.422,1.425,1.041,0.787,1.102
Philippines,0.450,0.332,0.413,0.371,0.425,0.398,0.351,0.517,1.243,0.404,0.558,0.618,0.639,0.555,0.598,0.625,0.760,0.721,0.429,0.595,0.943,0.485,0.810,0.849,0.716,1.033,1.467,1.072,1.144,1.219
Pitcairn Islands,0.235,-0.311,-0.302,-0.514,-0.203,-0.081,-0.166,-0.243,-0.367,,0.518,0.225,0.572,-0.025,-0.646,-0.119,0.512,0.131,-0.023,-0.090,0.066,0.588,,,,,,,,
Poland,1.606,0.363,1.193,0.255,1.319,0.670,-0.810,0.404,0.767,1.419,1.998,0.824,1.602,0.853,0.799,0.745,1.192,1.863,1.823,1.088,0.060,1.412,0.978,1.038,2.237,2.284,1.767,1.578,2.391,2.801
Polynesia,0.474,0.515,0.465,0.227,0.409,0.644,0.468,0.435,0.605,0.387,0.519,0.730,1.021,0.733,0.520,0.758,0.695,0.976,0.531,0.872,0.893,0.503,0.826,0.833,0.811,0.816,1.305,1.081,0.883,1.120
Portugal,1.095,0.568,0.461,-0.203,0.747,1.739,0.671,1.640,1.048,0.725,0.763,0.895,0.951,1.291,0.950,1.003,1.522,0.745,0.601,1.490,1.101,1.615,0.835,0.879,1.380,1.770,1.635,2.099,1.026,1.512
Puerto Rico,0.338,0.205,0.158,0.329,0.515,0.556,0.187,0.677,1.030,0.394,0.186,0.578,0.748,0.798,0.320,0.627,0.713,0.778,0.268,0.612,0.869,0.499,0.690,0.620,0.723,1.055,1.035,0.847,0.668,1.029
Qatar,0.610,-0.145,-0.595,0.138,0.556,0.139,0.664,0.050,1.437,1.578,0.990,1.284,1.271,1.230,1.116,1.103,1.265,1.264,1.044,1.311,1.999,1.266,1.623,1.178,1.740,2.011,1.701,1.883,2.215,1.923
Republic of Korea,1.149,0.355,0.551,-0.106,1.351,0.215,0.095,0.688,1.481,0.849,0.377,0.749,0.706,0.538,1.251,0.411,0.809,1.244,0.877,0.823,0.474,0.239,0.150,0.686,0.700,1.129,1.414,0.979,0.865,1.685
Republic of Moldova,,,0.435,-0.398,1.370,0.318,-0.586,-0.422,0.443,1.372,1.489,0.970,1.270,0.288,0.769,0.772,0.358,2.060,1.621,1.491,1.184,0.722,1.523,1.494,1.319,2.147,1.735,1.667,1.676,2.723
Romania,1.100,-0.266,0.483,-0.117,1.571,0.281,-0.364,-0.316,0.371,1.045,1.462,0.895,1.352,0.414,0.655,0.221,0.592,1.850,1.536,1.475,0.991,0.693,1.477,1.475,1.617,1.882,1.498,1.456,2.050,2.496
Russian Federation,,,0.531,0.772,0.553,2.290,0.699,1.138,0.178,0.602,0.942,0.942,1.322,1.592,1.001,1.912,0.736,2.469,2.143,0.862,0.974,2.020,1.559,1.704,1.531,2.337,2.168,2.374,1.804,2.372
Rwanda,0.362,-0.132,-0.058,0.582,0.411,0.562,0.616,1.031,0.524,-0.480,0.648,-0.075,0.385,0.461,0.540,2.050,1.240,0.673,0.539,0.650,1.211,0.789,0.788,0.886,,,,,,
R閡nion,0.289,0.366,0.399,0.307,0.513,0.258,0.179,0.316,0.953,0.397,0.563,0.869,0.625,0.724,0.708,0.604,0.481,0.596,0.504,1.043,0.898,0.970,0.780,0.620,1.087,1.180,0.938,1.460,1.211,1.740
"Saint Helena, Ascension and Tristan da Cunha",0.870,0.454,0.463,0.817,0.937,0.790,0.475,1.021,1.293,1.392,1.500,1.131,1.154,1.607,1.417,1.494,1.525,1.079,1.136,1.691,1.250,1.394,1.325,1.340,1.407,2.245,1.581,1.432,1.600,1.767
Saint Kitts and Nevis,0.177,0.236,0.255,0.338,0.297,0.573,0.193,0.557,0.929,0.426,0.181,,0.501,0.471,0.354,0.691,0.520,0.672,0.129,0.439,0.954,0.458,0.589,0.693,0.611,0.989,0.961,0.824,0.561,0.912
